temp	cp
5.68464	-6.50609E-4
5.70198	-6.51669E-4
5.71765	-6.51681E-4
5.73506	-6.51928E-4
5.75217	-6.52069E-4
5.76861	-6.52771E-4
5.78509	-6.51826E-4
5.80178	-6.51577E-4
5.82063	-6.51376E-4
5.83687	-6.5018E-4
5.8505	-6.51214E-4
5.86658	-6.50625E-4
5.88433	-6.48937E-4
5.90285	-6.49688E-4
5.91688	-6.49854E-4
5.93287	-6.50487E-4
5.95047	-6.50121E-4
5.96753	-6.50023E-4
5.98359	-6.4864E-4
6.00056	-6.47943E-4
6.01723	-6.47684E-4
6.0341	-6.48813E-4
6.04916	-6.49076E-4
6.06771	-6.47825E-4
6.08564	-6.48222E-4
6.10127	-6.48022E-4
6.11672	-6.48525E-4
6.13437	-6.49092E-4
6.15133	-6.4713E-4
6.1671	-6.47172E-4
6.18347	-6.47879E-4
6.20056	-6.4749E-4
6.21825	-6.47237E-4
6.23584	-6.46102E-4
6.2512	-6.46311E-4
6.26585	-6.47124E-4
6.28088	-6.47178E-4
6.30007	-6.45394E-4
6.31509	-6.46446E-4
6.33001	-6.46375E-4
6.34651	-6.4613E-4
6.36591	-6.45283E-4
6.38045	-6.45354E-4
6.396	-6.46369E-4
6.41498	-6.45777E-4
6.43231	-6.45619E-4
6.44739	-6.45488E-4
6.46409	-6.46116E-4
6.48328	-6.46086E-4
6.49883	-6.45271E-4
6.51651	-6.43992E-4
6.53265	-6.43629E-4
6.54943	-6.45442E-4
6.56579	-6.43962E-4
6.58352	-6.44649E-4
6.59906	-6.45693E-4
6.61826	-6.4755E-4
6.63178	-6.47823E-4
6.64668	-6.46116E-4
6.66455	-6.47088E-4
6.68367	-6.45697E-4
6.6987	-6.44215E-4
6.7159	-6.4506E-4
6.73258	-6.45438E-4
6.74822	-6.45414E-4
6.76659	-6.45167E-4
6.78302	-6.44603E-4
6.79871	-6.44992E-4
6.81564	-6.43878E-4
6.83338	-6.4484E-4
6.84909	-6.45299E-4
6.86428	-6.44322E-4
6.87987	-6.42971E-4
6.89597	-6.42898E-4
6.91402	-6.42563E-4
6.92823	-6.42404E-4
6.94558	-6.43372E-4
6.9635	-6.43119E-4
6.98023	-6.44151E-4
6.99547	-6.43436E-4
7.01292	-6.43988E-4
7.02959	-6.41975E-4
7.04579	-6.41375E-4
7.06501	-6.4115E-4
7.08112	-6.41349E-4
7.09677	-6.42127E-4
7.11266	-6.41453E-4
7.13152	-6.41766E-4
7.14666	-6.4346E-4
7.16302	-6.42043E-4
7.18057	-6.42073E-4
7.19779	-6.41308E-4
7.21238	-6.4109E-4
7.2319	-6.42354E-4
7.24917	-6.41708E-4
7.26361	-6.41294E-4
7.27905	-6.40738E-4
7.29702	-6.4066E-4
7.3133	-6.41806E-4
7.33059	-6.40664E-4
7.34657	-6.39746E-4
7.36189	-6.39411E-4
7.37832	-6.38919E-4
7.39621	-6.39763E-4
7.41126	-6.41084E-4
7.4289	-6.39883E-4
7.44525	-6.40859E-4
7.46277	-6.41453E-4
7.4811	-6.41638E-4
7.49601	-6.41579E-4
7.51474	-6.40991E-4
7.52929	-6.396E-4
7.54497	-6.39759E-4
7.56396	-6.39411E-4
7.57969	-6.39094E-4
7.59501	-6.3961E-4
7.61265	-6.40983E-4
7.62802	-6.39797E-4
7.64391	-6.39291E-4
7.66268	-6.39399E-4
7.67805	-6.40742E-4
7.69586	-6.39072E-4
7.71101	-6.39178E-4
7.72846	-6.3972E-4
7.74441	-6.39307E-4
7.76079	-6.38751E-4
7.77952	-6.38903E-4
7.79402	-6.39933E-4
7.80968	-6.39196E-4
7.82782	-6.39074E-4
7.84238	-6.39395E-4
7.86226	-6.38399E-4
7.87871	-6.37038E-4
7.8951	-6.3761E-4
7.91104	-6.36587E-4
7.92796	-6.36719E-4
7.94409	-6.36832E-4
7.96035	-6.39116E-4
7.97732	-6.39317E-4
7.99355	-6.37817E-4
8.01202	-6.36785E-4
8.03006	-6.3477E-4
8.04442	-6.36737E-4
8.06027	-6.38036E-4
8.07735	-6.37331E-4
8.09264	-6.36731E-4
8.11054	-6.36956E-4
8.12574	-6.37285E-4
8.14388	-6.37235E-4
8.16135	-6.37729E-4
8.17742	-6.38301E-4
8.19416	-6.38211E-4
8.20877	-6.37398E-4
8.22501	-6.35896E-4
8.24038	-6.35454E-4
8.25915	-6.34806E-4
8.27783	-6.35547E-4
8.29138	-6.36924E-4
8.30864	-6.35336E-4
8.32988	-6.36033E-4
8.34595	-6.36193E-4
8.36125	-6.35818E-4
8.378	-6.35719E-4
8.39472	-6.35741E-4
8.41317	-6.35593E-4
8.42725	-6.35671E-4
8.4442	-6.35121E-4
8.45961	-6.34928E-4
8.47791	-6.35163E-4
8.49513	-6.34655E-4
8.50952	-6.35422E-4
8.52588	-6.34946E-4
8.54406	-6.34457E-4
8.56181	-6.35701E-4
8.57685	-6.35135E-4
8.59132	-6.34585E-4
8.60771	-6.34766E-4
8.62593	-6.35003E-4
8.6427	-6.35615E-4
8.66139	-6.37235E-4
8.6763	-6.37356E-4
8.6906	-6.35834E-4
8.70606	-6.34752E-4
8.72502	-6.34912E-4
8.74343	-6.35358E-4
8.76075	-6.35115E-4
8.7762	-6.34382E-4
8.79174	-6.33393E-4
8.80784	-6.34192E-4
8.82709	-6.32812E-4
8.84247	-6.33033E-4
8.85921	-6.33194E-4
8.87413	-6.32594E-4
8.8918	-6.32933E-4
8.90985	-6.3318E-4
8.92561	-6.32531E-4
8.94137	-6.3281E-4
8.95727	-6.34033E-4
8.97448	-6.33437E-4
8.99179	-6.3214E-4
9.0103	-6.31843E-4
