temp	cp
5.68407	-5.91252E-4
5.70353	-5.91029E-4
5.71923	-5.9033E-4
5.7354	-5.90718E-4
5.7524	-5.91418E-4
5.76874	-5.90792E-4
5.78584	-5.90208E-4
5.79957	-5.90316E-4
5.81738	-5.90511E-4
5.83273	-5.90055E-4
5.85163	-5.89554E-4
5.86725	-5.90714E-4
5.88504	-5.90375E-4
5.8992	-5.90489E-4
5.9163	-5.90302E-4
5.9338	-5.90658E-4
5.95064	-5.91458E-4
5.96844	-5.90013E-4
5.98276	-5.90463E-4
6.0011	-5.91557E-4
6.01642	-5.91964E-4
6.03316	-5.92117E-4
6.05111	-5.90541E-4
6.06875	-5.90029E-4
6.08454	-5.89556E-4
6.10035	-5.9123E-4
6.11771	-5.90975E-4
6.13455	-5.90495E-4
6.15175	-5.90178E-4
6.16561	-5.91294E-4
6.18236	-5.90957E-4
6.19914	-5.90762E-4
6.21816	-5.89544E-4
6.23284	-5.91011E-4
6.24948	-5.91631E-4
6.26588	-5.90933E-4
6.28164	-5.89795E-4
6.29878	-5.89423E-4
6.31393	-5.90055E-4
6.33254	-5.89136E-4
6.3489	-5.88675E-4
6.36515	-5.89028E-4
6.38224	-5.88715E-4
6.39924	-5.89363E-4
6.41585	-5.89261E-4
6.43146	-5.9025E-4
6.45014	-5.89279E-4
6.46554	-5.88942E-4
6.48176	-5.88903E-4
6.49888	-5.88528E-4
6.51646	-5.89467E-4
6.53075	-5.90547E-4
6.54975	-5.89859E-4
6.5637	-5.89361E-4
6.58066	-5.88281E-4
6.59859	-5.88986E-4
6.61386	-5.88343E-4
6.62991	-5.88988E-4
6.64839	-5.89259E-4
6.66501	-5.88347E-4
6.68108	-5.87743E-4
6.69689	-5.87844E-4
6.71501	-5.8844E-4
6.73088	-5.87673E-4
6.7466	-5.86852E-4
6.76322	-5.88213E-4
6.77993	-5.88755E-4
6.79607	-5.87872E-4
6.81497	-5.88249E-4
6.83077	-5.88759E-4
6.84593	-5.87655E-4
6.86436	-5.87324E-4
6.88091	-5.87288E-4
6.89679	-5.88177E-4
6.91483	-5.86826E-4
6.93089	-5.87709E-4
6.94737	-5.87221E-4
6.9626	-5.87049E-4
6.98004	-5.88731E-4
6.99659	-5.88532E-4
7.01243	-5.8804E-4
7.03246	-5.87761E-4
7.04724	-5.87195E-4
7.06294	-5.87699E-4
7.08129	-5.88492E-4
7.0972	-5.89939E-4
7.11337	-5.88243E-4
7.13093	-5.88538E-4
7.14669	-5.88618E-4
7.1625	-5.87697E-4
7.18023	-5.87288E-4
7.19583	-5.88365E-4
7.21278	-5.89622E-4
7.22893	-5.88819E-4
7.24901	-5.8743E-4
7.26459	-5.88095E-4
7.28154	-5.87701E-4
7.29763	-5.87741E-4
7.31438	-5.87689E-4
7.32998	-5.87575E-4
7.34744	-5.87918E-4
7.36367	-5.88313E-4
7.37841	-5.86965E-4
7.39514	-5.86858E-4
7.41279	-5.85776E-4
7.42846	-5.86547E-4
7.44611	-5.8807E-4
7.46362	-5.87254E-4
7.47945	-5.88269E-4
7.49778	-5.89042E-4
7.5129	-5.87019E-4
7.52941	-5.86336E-4
7.54654	-5.86531E-4
7.56234	-5.87709E-4
7.58042	-5.86677E-4
7.59672	-5.86591E-4
7.61289	-5.86724E-4
7.62856	-5.86244E-4
7.64404	-5.8574E-4
7.6628	-5.8676E-4
7.67811	-5.86346E-4
7.69506	-5.86234E-4
7.71376	-5.87241E-4
7.72829	-5.87402E-4
7.74262	-5.87537E-4
7.76022	-5.86653E-4
7.77693	-5.86924E-4
7.79422	-5.86401E-4
7.81228	-5.86109E-4
7.82815	-5.8684E-4
7.84426	-5.86832E-4
7.86198	-5.88016E-4
7.88056	-5.87412E-4
7.89796	-5.86411E-4
7.91472	-5.86975E-4
7.92815	-5.87103E-4
7.94431	-5.86124E-4
7.96155	-5.8614E-4
7.97911	-5.86597E-4
7.9948	-5.86413E-4
8.01129	-5.85254E-4
8.02739	-5.86888E-4
8.04321	-5.8559E-4
8.06185	-5.84289E-4
8.07702	-5.84014E-4
8.09223	-5.85184E-4
8.10899	-5.84821E-4
8.12694	-5.86115E-4
8.14357	-5.8559E-4
8.15945	-5.84735E-4
8.17663	-5.84353E-4
8.19293	-5.83876E-4
8.21071	-5.83075E-4
8.22649	-5.82936E-4
8.24328	-5.8346E-4
8.26172	-5.85479E-4
8.28112	-5.8579E-4
8.29624	-5.87436E-4
8.31066	-5.87547E-4
8.3287	-5.84895E-4
8.34496	-5.84018E-4
8.361	-5.85584E-4
8.37951	-5.86294E-4
8.39519	-5.85411E-4
8.41176	-5.84721E-4
8.42786	-5.84644E-4
8.44501	-5.84887E-4
8.46167	-5.85192E-4
8.47847	-5.8503E-4
8.49476	-5.85614E-4
8.51146	-5.84638E-4
8.52901	-5.84432E-4
8.54591	-5.84325E-4
8.56216	-5.83071E-4
8.57932	-5.84688E-4
8.59505	-5.84098E-4
8.60942	-5.84793E-4
8.62763	-5.84985E-4
8.6457	-5.85808E-4
8.66066	-5.8512E-4
8.67804	-5.84126E-4
8.69425	-5.84199E-4
8.71209	-5.83603E-4
8.72632	-5.84464E-4
8.74266	-5.84462E-4
8.75851	-5.84399E-4
8.77577	-5.84749E-4
8.79354	-5.85222E-4
8.80952	-5.83857E-4
8.82817	-5.83769E-4
8.84501	-5.83187E-4
8.86298	-5.84865E-4
8.87828	-5.84054E-4
8.89506	-5.83695E-4
8.91227	-5.84126E-4
8.92818	-5.83342E-4
8.94477	-5.83002E-4
8.96141	-5.83115E-4
8.97865	-5.82898E-4
8.99346	-5.8179E-4
9.00992	-5.82422E-4
9.02771	-5.82764E-4
9.04209	-5.82553E-4
9.06062	-5.82013E-4
9.07707	-5.81264E-4
9.09291	-5.81549E-4
9.1096	-5.82149E-4
9.12625	-5.83018E-4
9.14367	-5.82376E-4
9.15963	-5.82184E-4
9.17616	-5.80887E-4
9.191	-5.82202E-4
9.20907	-5.81979E-4
9.2253	-5.83057E-4
9.24219	-5.82741E-4
9.25851	-5.81224E-4
9.27702	-5.81106E-4
9.29477	-5.82061E-4
9.30949	-5.8124E-4
9.32686	-5.8118E-4
9.34092	-5.8116E-4
9.35753	-5.8233E-4
9.37517	-5.82717E-4
9.3918	-5.81866E-4
9.40899	-5.81575E-4
9.42563	-5.81692E-4
9.4421	-5.82962E-4
9.45706	-5.81794E-4
9.47382	-5.8167E-4
9.48936	-5.8122E-4
9.50784	-5.81824E-4
9.5249	-5.80789E-4
9.54032	-5.81413E-4
9.55786	-5.8176E-4
9.57446	-5.81832E-4
9.59061	-5.80526E-4
9.60845	-5.80381E-4
9.6241	-5.81403E-4
9.64107	-5.81937E-4
9.65986	-5.82214E-4
9.67517	-5.80365E-4
9.69101	-5.80064E-4
9.70899	-5.79438E-4
9.7263	-5.7903E-4
9.74251	-5.78679E-4
9.75863	-5.79111E-4
9.77427	-5.79438E-4
9.79254	-5.78579E-4
9.80947	-5.79657E-4
9.82667	-5.78902E-4
9.84375	-5.8066E-4
9.86081	-5.80449E-4
9.87745	-5.81027E-4
9.8895	-5.79699E-4
9.91028	-5.78946E-4
9.92529	-5.79279E-4
9.9414	-5.78442E-4
9.95856	-5.7902E-4
9.9755	-5.79215E-4
9.99301	-5.77698E-4
10.00601	-5.78398E-4
10.02355	-5.79534E-4
10.04164	-5.79572E-4
10.05859	-5.79452E-4
10.07375	-5.79038E-4
10.0946	-5.78187E-4
10.10971	-5.77453E-4
10.12483	-5.77643E-4
10.14122	-5.78691E-4
10.15694	-5.78733E-4
10.17502	-5.76933E-4
10.18972	-5.76578E-4
10.20572	-5.77405E-4
10.22135	-5.77973E-4
10.2406	-5.76331E-4
10.2584	-5.76558E-4
10.2739	-5.75847E-4
10.28799	-5.7659E-4
10.30626	-5.76955E-4
10.32062	-5.76656E-4
10.33768	-5.76465E-4
10.35557	-5.75596E-4
10.37279	-5.77248E-4
10.39083	-5.76863E-4
10.4061	-5.76074E-4
10.42283	-5.75323E-4
10.44084	-5.76289E-4
10.45703	-5.76136E-4
10.47198	-5.7662E-4
10.49174	-5.76004E-4
10.50694	-5.76875E-4
10.52099	-5.7736E-4
10.53825	-5.77344E-4
10.55376	-5.76985E-4
10.57068	-5.76266E-4
10.58925	-5.76226E-4
10.60629	-5.74344E-4
10.62291	-5.73531E-4
10.64012	-5.73149E-4
10.65667	-5.72529E-4
10.67257	-5.74033E-4
10.68945	-5.72826E-4
10.70662	-5.73015E-4
10.72213	-5.75865E-4
10.74023	-5.74376E-4
10.75683	-5.74185E-4
10.77212	-5.74611E-4
10.79125	-5.74039E-4
10.80676	-5.74358E-4
10.82347	-5.73428E-4
10.83798	-5.73537E-4
10.85643	-5.73121E-4
10.87285	-5.73583E-4
10.88758	-5.72413E-4
10.90507	-5.72529E-4
10.92107	-5.72082E-4
10.9365	-5.71654E-4
10.9518	-5.72547E-4
10.96984	-5.7153E-4
10.98856	-5.70624E-4
11.00354	-5.71688E-4
11.02399	-5.70388E-4
11.03748	-5.70964E-4
11.05396	-5.71574E-4
11.07194	-5.70231E-4
11.08646	-5.69089E-4
11.10085	-5.69673E-4
11.11748	-5.70169E-4
11.1363	-5.70801E-4
11.1518	-5.70829E-4
11.16838	-5.70195E-4
11.18506	-5.69009E-4
11.20358	-5.70277E-4
11.21872	-5.70277E-4
11.23569	-5.68553E-4
11.25379	-5.68417E-4
11.27212	-5.67441E-4
11.28866	-5.67549E-4
11.30295	-5.6776E-4
11.32048	-5.67465E-4
11.33779	-5.6762E-4
11.35439	-5.67897E-4
11.36997	-5.66905E-4
11.38725	-5.67744E-4
11.40271	-5.68354E-4
11.42194	-5.68019E-4
11.4383	-5.68663E-4
11.45197	-5.68673E-4
11.46881	-5.67634E-4
11.4875	-5.68232E-4
11.5056	-5.67044E-4
11.52235	-5.6591E-4
11.53796	-5.66203E-4
11.55241	-5.66267E-4
11.56992	-5.65725E-4
11.58683	-5.65825E-4
11.60568	-5.65815E-4
11.62047	-5.64352E-4
11.63501	-5.64784E-4
11.65159	-5.6607E-4
11.66994	-5.66289E-4
11.68761	-5.66213E-4
11.70169	-5.66753E-4
11.7204	-5.66646E-4
11.74027	-5.67254E-4
11.75435	-5.65815E-4
11.76989	-5.65253E-4
11.78735	-5.65514E-4
11.80316	-5.65247E-4
11.81987	-5.6533E-4
11.83543	-5.65872E-4
11.85395	-5.66508E-4
11.87048	-5.6549E-4
11.88633	-5.65318E-4
11.90396	-5.66783E-4
11.92127	-5.66413E-4
11.93696	-5.65984E-4
11.95421	-5.66474E-4
11.97022	-5.64661E-4
11.98387	-5.63579E-4
12.00083	-5.63166E-4
12.01764	-5.63624E-4
12.03384	-5.64204E-4
12.04973	-5.6326E-4
12.06667	-5.6316E-4
12.08633	-5.62459E-4
12.10158	-5.60496E-4
12.11836	-5.60735E-4
12.1327	-5.60832E-4
12.15238	-5.6087E-4
12.16979	-5.60103E-4
12.18668	-5.59527E-4
12.20399	-5.58501E-4
12.22014	-5.59256E-4
12.23601	-5.59822E-4
12.25279	-5.59619E-4
12.27038	-5.58662E-4
12.28805	-5.59003E-4
12.30418	-5.59732E-4
12.31805	-5.58746E-4
12.33626	-5.56552E-4
12.35322	-5.56621E-4
12.37127	-5.57018E-4
12.38597	-5.55719E-4
12.40271	-5.56039E-4
12.42186	-5.55497E-4
12.43928	-5.54192E-4
12.45363	-5.54114E-4
12.47092	-5.5372E-4
12.48849	-5.53821E-4
12.50311	-5.54146E-4
12.519	-5.53209E-4
12.53602	-5.51547E-4
12.55368	-5.52472E-4
12.56902	-5.51793E-4
12.58484	-5.51109E-4
12.60241	-5.51492E-4
12.61999	-5.49602E-4
12.63549	-5.49935E-4
12.65114	-5.49377E-4
12.66627	-5.47932E-4
12.6857	-5.45664E-4
12.70546	-5.45744E-4
12.7189	-5.44564E-4
12.73365	-5.44337E-4
12.75027	-5.43761E-4
12.76919	-5.41543E-4
12.78497	-5.4E-4
12.80214	-5.38731E-4
12.81942	-5.39104E-4
12.83706	-5.38344E-4
12.85479	-5.37972E-4
12.86958	-5.37153E-4
12.88798	-5.36718E-4
12.90254	-5.35626E-4
12.91698	-5.33986E-4
12.9348	-5.34038E-4
