temp	cp
5.679	-5.8243E-4
5.69546	-5.82595E-4
5.71279	-5.81113E-4
5.72996	-5.80248E-4
5.74436	-5.80603E-4
5.76243	-5.80294E-4
5.77776	-5.80356E-4
5.79351	-5.80075E-4
5.81065	-5.79174E-4
5.82667	-5.78875E-4
5.84118	-5.80192E-4
5.85935	-5.80126E-4
5.87757	-5.80015E-4
5.89437	-5.8013E-4
5.91285	-5.79467E-4
5.93051	-5.78399E-4
5.94601	-5.78839E-4
5.9622	-5.78313E-4
5.97979	-5.79172E-4
5.99519	-5.81005E-4
6.01383	-5.80708E-4
6.02977	-5.79399E-4
6.04632	-5.80509E-4
6.06351	-5.81065E-4
6.08078	-5.79317E-4
6.09653	-5.79409E-4
6.11179	-5.79939E-4
6.13013	-5.80814E-4
6.1456	-5.81278E-4
6.16035	-5.79294E-4
6.17874	-5.7918E-4
6.19361	-5.79405E-4
6.21021	-5.79377E-4
6.22586	-5.79162E-4
6.24476	-5.80182E-4
6.26277	-5.81292E-4
6.27621	-5.80354E-4
6.29136	-5.80676E-4
6.30981	-5.80838E-4
6.32805	-5.79527E-4
6.34358	-5.79345E-4
6.36053	-5.79782E-4
6.37562	-5.81984E-4
6.39344	-5.80744E-4
6.4091	-5.79019E-4
6.42759	-5.80318E-4
6.44395	-5.81298E-4
6.46116	-5.81404E-4
6.47555	-5.81613E-4
6.49262	-5.81408E-4
6.50707	-5.8085E-4
6.524	-5.81942E-4
6.5415	-5.8199E-4
6.55831	-5.79985E-4
6.57439	-5.8029E-4
6.59296	-5.79722E-4
6.60899	-5.80117E-4
6.62603	-5.79848E-4
6.64302	-5.80122E-4
6.66004	-5.80378E-4
6.67577	-5.80457E-4
6.6914	-5.79565E-4
6.70818	-5.78939E-4
6.72423	-5.7984E-4
6.74169	-5.78365E-4
6.75874	-5.79445E-4
6.77489	-5.78957E-4
6.79016	-5.79072E-4
6.80583	-5.78512E-4
6.82319	-5.79463E-4
6.8423	-5.80126E-4
6.85659	-5.78791E-4
6.87329	-5.79634E-4
6.88987	-5.80238E-4
6.90593	-5.80113E-4
6.92248	-5.79545E-4
6.94074	-5.79541E-4
6.95915	-5.79471E-4
6.97457	-5.80601E-4
6.99134	-5.79893E-4
7.00578	-5.80059E-4
7.02126	-5.7911E-4
7.03778	-5.78277E-4
7.05552	-5.78825E-4
7.07348	-5.78692E-4
7.09173	-5.78694E-4
7.10694	-5.78389E-4
7.12323	-5.79104E-4
7.13976	-5.79915E-4
7.15629	-5.79228E-4
7.17351	-5.79493E-4
7.18792	-5.79214E-4
7.20609	-5.79838E-4
7.22553	-5.79481E-4
7.2388	-5.79848E-4
7.25689	-5.79893E-4
7.27417	-5.79062E-4
7.28883	-5.78046E-4
7.30594	-5.79419E-4
7.32355	-5.80039E-4
7.33972	-5.80005E-4
7.35515	-5.81071E-4
7.37259	-5.81483E-4
7.38985	-5.81641E-4
7.40668	-5.8092E-4
7.42071	-5.80421E-4
7.43774	-5.80156E-4
7.45586	-5.80397E-4
7.47192	-5.8188E-4
7.48875	-5.81212E-4
7.50817	-5.80943E-4
7.52458	-5.80637E-4
7.54041	-5.80981E-4
7.55687	-5.80547E-4
7.57478	-5.79256E-4
7.58903	-5.78646E-4
7.60684	-5.79369E-4
7.62439	-5.7911E-4
7.64169	-5.7905E-4
7.65693	-5.7854E-4
7.6749	-5.79865E-4
7.6913	-5.79698E-4
7.70996	-5.78883E-4
7.7266	-5.79983E-4
7.74215	-5.79824E-4
7.75867	-5.79555E-4
7.77577	-5.79228E-4
7.79143	-5.80425E-4
7.80798	-5.81436E-4
7.82353	-5.79222E-4
7.83938	-5.78803E-4
7.85592	-5.79891E-4
7.87441	-5.78853E-4
7.89092	-5.79317E-4
7.90717	-5.79463E-4
7.9215	-5.80529E-4
7.93841	-5.81398E-4
7.95525	-5.81627E-4
7.97176	-5.80146E-4
7.98882	-5.79929E-4
8.00292	-5.80194E-4
8.02077	-5.8015E-4
8.03742	-5.80318E-4
8.05526	-5.80625E-4
8.07269	-5.80272E-4
8.08765	-5.81157E-4
8.10221	-5.80798E-4
8.11963	-5.81491E-4
8.1371	-5.80332E-4
8.15186	-5.80489E-4
8.1696	-5.79877E-4
8.18848	-5.82087E-4
8.20313	-5.80967E-4
8.21863	-5.78817E-4
8.23763	-5.78913E-4
8.25519	-5.802E-4
8.27001	-5.80256E-4
8.28896	-5.81133E-4
8.30608	-5.79746E-4
8.32364	-5.7915E-4
8.33708	-5.79995E-4
8.35697	-5.8035E-4
8.37385	-5.79744E-4
8.38935	-5.80015E-4
8.40652	-5.7961E-4
8.42525	-5.79569E-4
8.44045	-5.79652E-4
8.45727	-5.79863E-4
8.47471	-5.80085E-4
8.49001	-5.8131E-4
8.50672	-5.80023E-4
8.52291	-5.79939E-4
8.5406	-5.78281E-4
8.55702	-5.77532E-4
8.57339	-5.77971E-4
8.58887	-5.77833E-4
8.60478	-5.77927E-4
8.62229	-5.77747E-4
8.64006	-5.78522E-4
8.65521	-5.77325E-4
8.67299	-5.78586E-4
8.68919	-5.78351E-4
8.70481	-5.78497E-4
8.72021	-5.77801E-4
8.73779	-5.78706E-4
8.75448	-5.79917E-4
8.77068	-5.79734E-4
8.78706	-5.79194E-4
8.80446	-5.79381E-4
8.82094	-5.80407E-4
8.83667	-5.79501E-4
8.85495	-5.78965E-4
8.87088	-5.79495E-4
8.88918	-5.79389E-4
8.90554	-5.79409E-4
8.92225	-5.80324E-4
8.93746	-5.79608E-4
8.95417	-5.78955E-4
8.97209	-5.80186E-4
8.98705	-5.77598E-4
9.00557	-5.77283E-4
9.02283	-5.77717E-4
9.03725	-5.78937E-4
9.05513	-5.78861E-4
9.07363	-5.7917E-4
9.08788	-5.80969E-4
9.10426	-5.80457E-4
9.12076	-5.80662E-4
9.13769	-5.80904E-4
9.15391	-5.81113E-4
9.17149	-5.80591E-4
9.18693	-5.80674E-4
9.20332	-5.80483E-4
9.22099	-5.79553E-4
9.24013	-5.80766E-4
9.25332	-5.79431E-4
9.26945	-5.8018E-4
