temp	cp
5.67256	-6.08307E-4
5.68788	-6.08265E-4
5.70643	-6.07302E-4
5.72249	-6.06366E-4
5.73844	-6.05788E-4
5.75457	-6.05364E-4
5.77041	-6.05248E-4
5.7883	-6.05684E-4
5.80525	-6.05069E-4
5.82165	-6.05762E-4
5.8381	-6.06232E-4
5.85489	-6.04507E-4
5.87233	-6.05798E-4
5.88905	-6.05382E-4
5.90762	-6.05354E-4
5.92137	-6.0516E-4
5.93789	-6.05316E-4
5.95642	-6.05465E-4
5.97138	-6.06348E-4
5.98914	-6.05419E-4
6.00274	-6.06047E-4
6.02	-6.06589E-4
6.03607	-6.06185E-4
6.05387	-6.06101E-4
6.07052	-6.05704E-4
6.08834	-6.05543E-4
6.10391	-6.04943E-4
6.11929	-6.05222E-4
6.13531	-6.06143E-4
6.15337	-6.04509E-4
6.16889	-6.03975E-4
6.18473	-6.04427E-4
6.20113	-6.0466E-4
6.21638	-6.05015E-4
6.23126	-6.04322E-4
6.24938	-6.04437E-4
6.26777	-6.05529E-4
6.28318	-6.05154E-4
6.29843	-6.04459E-4
6.31424	-6.04838E-4
6.33119	-6.05824E-4
6.34821	-6.05314E-4
6.36653	-6.05938E-4
6.38201	-6.0639E-4
6.39874	-6.05148E-4
6.41372	-6.06053E-4
6.43089	-6.05655E-4
6.44968	-6.05641E-4
6.46597	-6.05037E-4
6.48008	-6.0519E-4
6.49922	-6.0524E-4
6.51675	-6.0487E-4
6.53372	-6.05706E-4
6.54963	-6.0517E-4
6.56721	-6.05296E-4
6.58248	-6.04318E-4
6.60306	-6.05103E-4
6.6193	-6.05694E-4
6.63363	-6.05439E-4
6.65145	-6.0472E-4
6.66762	-6.0424E-4
6.68496	-6.04322E-4
6.70076	-6.03784E-4
6.71679	-6.04477E-4
6.73326	-6.06288E-4
6.74732	-6.05904E-4
6.76504	-6.05009E-4
6.78212	-6.04517E-4
6.79771	-6.03883E-4
6.81473	-6.03923E-4
6.83148	-6.04369E-4
6.84882	-6.05035E-4
6.86572	-6.05198E-4
6.88102	-6.04045E-4
6.89916	-6.03325E-4
6.91723	-6.04252E-4
6.93183	-6.04937E-4
6.94887	-6.04513E-4
6.9665	-6.04031E-4
6.98541	-6.04252E-4
7.00119	-6.04965E-4
7.0161	-6.05158E-4
7.03115	-6.04236E-4
7.04789	-6.03945E-4
7.06393	-6.02957E-4
7.08021	-6.02951E-4
7.09797	-6.02949E-4
7.11495	-6.03108E-4
7.13098	-6.05328E-4
7.14862	-6.03937E-4
7.16621	-6.03311E-4
7.18107	-6.02727E-4
7.1991	-6.02759E-4
7.21422	-6.02524E-4
7.23191	-6.02086E-4
7.24725	-6.04148E-4
7.26442	-6.03642E-4
7.28266	-6.0375E-4
7.30166	-6.03963E-4
7.3159	-6.03321E-4
7.33232	-6.02795E-4
7.3472	-6.02849E-4
7.36334	-6.02148E-4
7.37895	-6.0269E-4
7.39598	-6.02391E-4
7.41349	-6.03254E-4
7.42973	-6.04063E-4
7.44921	-6.04983E-4
7.46402	-6.05563E-4
7.48001	-6.05011E-4
7.49631	-6.05796E-4
7.51271	-6.05878E-4
7.52831	-6.04662E-4
7.54834	-6.0263E-4
7.56374	-6.02496E-4
7.58041	-6.01036E-4
7.59753	-6.01281E-4
7.61374	-6.02554E-4
7.63079	-6.03485E-4
7.6456	-6.04423E-4
7.66211	-6.05041E-4
7.67923	-6.03827E-4
7.69669	-6.03702E-4
7.71216	-6.04449E-4
7.72799	-6.03973E-4
7.74688	-6.02626E-4
7.76278	-6.02652E-4
7.77768	-6.03285E-4
7.79597	-6.04535E-4
7.81099	-6.03835E-4
7.82763	-6.03439E-4
7.84563	-6.0357E-4
7.86084	-6.03218E-4
7.87838	-6.0355E-4
7.8949	-6.03188E-4
7.91196	-6.0407E-4
7.92956	-6.05766E-4
7.94543	-6.03399E-4
7.96424	-6.03784E-4
7.9804	-6.04467E-4
7.99605	-6.02126E-4
8.01297	-6.02506E-4
8.03075	-6.03034E-4
8.04682	-6.02239E-4
8.06566	-6.03076E-4
8.08237	-6.0309E-4
8.09679	-6.01279E-4
8.11401	-6.02337E-4
8.1307	-6.03114E-4
8.14792	-6.03086E-4
8.16387	-6.02522E-4
8.18096	-6.03106E-4
8.19805	-6.0254E-4
8.2141	-6.02429E-4
8.22908	-6.03158E-4
8.24716	-6.04192E-4
8.26674	-6.05587E-4
8.28035	-6.05146E-4
8.2973	-6.06209E-4
8.31391	-6.04929E-4
8.33061	-6.03373E-4
8.34667	-6.03148E-4
8.36495	-6.04489E-4
8.38064	-6.04716E-4
8.39553	-6.04343E-4
8.41281	-6.03803E-4
8.42869	-6.03429E-4
8.44621	-6.02945E-4
8.46427	-6.03246E-4
8.48102	-6.02963E-4
8.49762	-6.03172E-4
8.51507	-6.03873E-4
8.53145	-6.04682E-4
8.54699	-6.0425E-4
8.56391	-6.0375E-4
8.58213	-6.03923E-4
8.59831	-6.03162E-4
8.61557	-6.03792E-4
8.6321	-6.02871E-4
8.64974	-6.03335E-4
8.66449	-6.03521E-4
8.67994	-6.03692E-4
8.69779	-6.02929E-4
8.71399	-6.03246E-4
8.72865	-6.02805E-4
8.74525	-6.01636E-4
8.76415	-6.01319E-4
8.7812	-6.0263E-4
8.79677	-6.03114E-4
8.81151	-6.01869E-4
8.82986	-6.01374E-4
8.84704	-6.02821E-4
8.86471	-6.02747E-4
8.8787	-6.02191E-4
8.89428	-6.02965E-4
8.91063	-6.04868E-4
8.92972	-6.04877E-4
8.94528	-6.03744E-4
8.96072	-6.02883E-4
8.97944	-6.03034E-4
8.99485	-6.03598E-4
9.01064	-6.02628E-4
9.02704	-6.02885E-4
9.04434	-6.01616E-4
9.06141	-6.01125E-4
9.07835	-6.02197E-4
9.09493	-6.01618E-4
9.1114	-6.01974E-4
9.12753	-6.015E-4
9.14323	-6.00508E-4
9.1616	-6.01369E-4
9.17887	-6.01323E-4
9.19157	-6.01452E-4
9.21133	-6.00884E-4
9.22853	-6.00342E-4
9.24586	-6.00994E-4
9.26226	-6.01155E-4
9.27896	-6.00227E-4
9.29628	-6.01064E-4
9.31442	-6.00073E-4
9.3334	-6.01488E-4
9.34726	-6.01817E-4
9.3656	-6.00396E-4
9.38186	-6.00406E-4
9.39744	-6.00639E-4
9.41322	-6.00346E-4
9.42863	-6.00127E-4
9.44641	-6.00069E-4
9.46481	-6.00354E-4
9.48068	-5.99266E-4
9.49615	-6.0084E-4
9.51399	-6.01183E-4
9.52916	-6.01671E-4
9.54348	-6.01879E-4
9.56131	-6.01715E-4
9.57627	-6.01165E-4
9.59478	-6.01484E-4
9.61081	-6.01488E-4
9.62678	-6.01962E-4
9.64196	-6.0252E-4
9.65797	-6.02158E-4
9.67446	-6.00466E-4
9.69282	-6.00231E-4
9.70896	-6.00378E-4
9.72438	-6.00868E-4
9.74157	-6.00777E-4
9.75903	-6.0191E-4
9.77522	-6.02431E-4
9.78959	-6.00635E-4
9.80721	-6.0037E-4
9.82562	-6.00906E-4
9.84325	-6.01353E-4
9.85838	-6.00657E-4
9.87593	-6.00291E-4
9.89414	-6.01062E-4
9.90734	-6.01229E-4
9.92643	-6.00149E-4
9.94243	-5.98806E-4
9.95809	-6.0001E-4
9.97546	-5.998E-4
9.99005	-6.00498E-4
10.00804	-5.99579E-4
10.02592	-5.99603E-4
10.04166	-6.00914E-4
10.05929	-6.01219E-4
10.07445	-6.00665E-4
10.09324	-5.99928E-4
10.10938	-5.99705E-4
10.12627	-6.01299E-4
10.14203	-5.99406E-4
10.15914	-5.98708E-4
10.17544	-6.00287E-4
10.18966	-5.99607E-4
10.20609	-5.98997E-4
10.22353	-6.00817E-4
10.24123	-6.00755E-4
10.2575	-6.00175E-4
10.27582	-6.01026E-4
10.2927	-6.02305E-4
10.30921	-6.00761E-4
10.32676	-5.97909E-4
10.34043	-5.98059E-4
10.3586	-5.99007E-4
10.37418	-5.98015E-4
10.38961	-5.98981E-4
10.40406	-5.99745E-4
10.4214	-5.99643E-4
10.44115	-5.99681E-4
10.45642	-5.9945E-4
10.47322	-5.99629E-4
10.48961	-5.99579E-4
10.50613	-6.00129E-4
10.52299	-5.9938E-4
10.54048	-6.00157E-4
10.55856	-5.99446E-4
10.57585	-5.98676E-4
10.59081	-5.99958E-4
10.60711	-6.00217E-4
10.62345	-6.00577E-4
10.63905	-5.99386E-4
10.65673	-5.98318E-4
10.67277	-5.9893E-4
10.68915	-5.98812E-4
10.70667	-5.9882E-4
10.72219	-5.98262E-4
10.7411	-5.98619E-4
10.75606	-5.97736E-4
10.77221	-5.97768E-4
10.78766	-5.97824E-4
10.80637	-5.97658E-4
10.82186	-5.98718E-4
10.83809	-5.98975E-4
10.85353	-5.99513E-4
10.87246	-5.98146E-4
10.88909	-5.97961E-4
10.90632	-5.99316E-4
10.92291	-5.99218E-4
10.93816	-6.00458E-4
10.95269	-5.9834E-4
10.97198	-5.97431E-4
10.98984	-5.97917E-4
11.00509	-5.97232E-4
11.02202	-5.95917E-4
11.03875	-5.97007E-4
11.05239	-5.97216E-4
11.07125	-5.98704E-4
11.08797	-5.96851E-4
11.10318	-5.97985E-4
11.11974	-5.9673E-4
11.13736	-5.97836E-4
11.15418	-5.97993E-4
11.17061	-5.99302E-4
11.19032	-5.98491E-4
11.20503	-5.96823E-4
11.22268	-5.96606E-4
11.2394	-5.9832E-4
11.256	-5.97981E-4
11.27286	-5.97664E-4
11.289	-5.98031E-4
11.30596	-5.97375E-4
11.32135	-5.96865E-4
11.34044	-5.97156E-4
11.35684	-5.97622E-4
11.37351	-5.96405E-4
11.38779	-5.9618E-4
11.4048	-5.95915E-4
11.42385	-5.97427E-4
11.43931	-5.97728E-4
11.45411	-5.97897E-4
11.47004	-5.98342E-4
11.48944	-5.96913E-4
11.50522	-5.96122E-4
11.52001	-5.95933E-4
11.53768	-5.96839E-4
11.5527	-5.96532E-4
11.56987	-5.96198E-4
11.58831	-5.97746E-4
11.60371	-5.97602E-4
11.6216	-5.9457E-4
11.6391	-5.94659E-4
11.65288	-5.95233E-4
11.67072	-5.96528E-4
11.68956	-5.9776E-4
11.70451	-5.97953E-4
11.72071	-5.96194E-4
11.7373	-5.96008E-4
11.75178	-5.97567E-4
11.76963	-5.98035E-4
11.78553	-5.97973E-4
11.80332	-5.98601E-4
11.8205	-5.97102E-4
11.83682	-5.96315E-4
11.85508	-5.97455E-4
11.86994	-5.971E-4
11.88548	-5.96999E-4
11.90396	-5.96788E-4
11.91801	-5.97577E-4
11.93537	-5.96375E-4
11.95362	-5.97509E-4
11.96966	-5.97051E-4
11.98572	-5.96263E-4
12.00181	-5.95331E-4
12.01884	-5.95014E-4
12.03505	-5.97579E-4
12.0548	-5.96927E-4
12.06769	-5.96102E-4
12.08396	-5.9613E-4
12.10147	-5.94582E-4
12.11971	-5.95664E-4
12.13621	-5.96008E-4
12.15109	-5.93639E-4
12.16975	-5.9398E-4
12.18741	-5.94408E-4
12.20287	-5.93842E-4
12.21814	-5.94552E-4
12.23636	-5.95203E-4
12.2535	-5.95833E-4
12.27016	-5.94717E-4
12.28611	-5.93655E-4
12.30143	-5.94711E-4
12.32042	-5.9438E-4
12.33561	-5.92723E-4
12.35269	-5.93265E-4
12.36746	-5.93051E-4
12.38506	-5.92808E-4
