;Experimental;Experimental;Experimental;Theoretical;Theoretical;Theoretical
;X_DPPC;T_solid [C];T_fluid [C];T [C];X_DPPC_lower;X_DPPC_upper
0;0.0;23.49391;24.24303;20.0;-0.21893999105121809;-0.07925740568061554
1;0.3;25.89586;30.36968;20.025025025025002;-0.2175015368245532;-0.0788371191750827
2;0.5;29.12499;34.11373;20.05005005005006;-0.2160635961277517;-0.0784158007166611
3;0.7;32.85901;37.70648;20.075075075075063;-0.2146261674027535;-0.07799344835161691
4;0.8;34.8463;39.01278;20.10010010010012;-0.2131892490917221;-0.07757006012235511
5;1.0;40.62677;41.42125;20.125125125125123;-0.211752839637051;-0.07714563406741354
6;;;;20.150150150150125;-0.21031693748134192;-0.0767201682214488
7;;;;20.175175175175184;-0.2088815410674184;-0.07629366061523252
8;;;;20.200200200200186;-0.20744664883831918;-0.0758661092756417
9;;;;20.225225225225245;-0.20601225923728173;-0.07543751222564599
10;;;;20.250250250250247;-0.20457837070775278;-0.07500786748430302
11;;;;20.27527527527525;-0.20314498169337403;-0.07457717306674633
12;;;;20.300300300300307;-0.20171209063798198;-0.07414542698417757
13;;;;20.32532532532531;-0.20027969598561085;-0.07371262724385938
14;;;;20.350350350350368;-0.19884779618046963;-0.07327877184910064
15;;;;20.37537537537537;-0.19741638966696223;-0.07284385879925474
16;;;;20.400400400400372;-0.19598547488966372;-0.07240788608970439
17;;;;20.42542542542543;-0.1945550502933222;-0.07197085171185427
18;;;;20.450450450450433;-0.19312511432286653;-0.07153275365312542
19;;;;20.47547547547549;-0.19169566542337718;-0.0710935898969384
20;;;;20.500500500500493;-0.19026670204010918;-0.07065335842271218
21;;;;20.525525525525552;-0.18883822261846603;-0.07021205720584837
22;;;;20.550550550550554;-0.18741022560401518;-0.06976968421772765
23;;;;20.575575575575556;-0.18598270944246797;-0.06932623742569574
24;;;;20.600600600600615;-0.18455567257967456;-0.06888171479305356
25;;;;20.625625625625617;-0.18312911346164432;-0.06843611427905563
26;;;;20.650650650650675;-0.18170303053450318;-0.06798943383888856
27;;;;20.675675675675677;-0.1802774222445313;-0.06754167142367469
28;;;;20.70070070070068;-0.1788522870381219;-0.06709282498045108
29;;;;20.725725725725738;-0.17742762336179635;-0.06664289245216594
30;;;;20.75075075075074;-0.17600342966220658;-0.06619187177767126
31;;;;20.7757757757758;-0.1745797043861042;-0.06573976089170488
32;;;;20.8008008008008;-0.17315644598037466;-0.06528655772489295
33;;;;20.825825825825802;-0.17173365289199322;-0.06483226020372772
34;;;;20.85085085085086;-0.1703113235680457;-0.06437686625056588
35;;;;20.875875875875863;-0.16888945645572484;-0.06392037378361902
36;;;;20.900900900900922;-0.16746805000230366;-0.06346278071693677
37;;;;20.925925925925924;-0.1660471026551659;-0.06300408496040832
38;;;;20.950950950950926;-0.16462661286176852;-0.0625442844197418
39;;;;20.975975975975985;-0.1632065790696555;-0.062083376996460424
40;;;;21.001001001000986;-0.1617869997264535;-0.061621360587892665
41;;;;21.026026026026045;-0.16036787327985927;-0.06115823308715972
42;;;;21.051051051051047;-0.15894919817764508;-0.06069399238316869
43;;;;21.076076076076106;-0.15753097286764345;-0.06022863636059932
44;;;;21.101101101101108;-0.1561131957977574;-0.059762162899898684
45;;;;21.12612612612611;-0.15469586541594307;-0.05929456987726692
46;;;;21.15115115115117;-0.1532789801702057;-0.058825855164647445
47;;;;21.17617617617617;-0.15186253850861095;-0.05835601662972213
48;;;;21.20120120120123;-0.1504465388792613;-0.05788505213589474
49;;;;21.22622622622623;-0.14903097973030557;-0.05741295954228561
50;;;;21.251251251251233;-0.14761585950992914;-0.05693973670371966
51;;;;21.276276276276292;-0.14620117666634014;-0.05646538147071314
52;;;;21.301301301301294;-0.14478692964779125;-0.05598989168947227
53;;;;21.326326326326353;-0.1433731169025479;-0.05551326520187378
54;;;;21.351351351351354;-0.14195973687890273;-0.05503549984546109
55;;;;21.376376376376356;-0.1405467880251579;-0.05455659345342955
56;;;;21.401401401401415;-0.13913426878962368;-0.0540765438546172
57;;;;21.426426426426417;-0.13772217762063235;-0.053595348873500676
58;;;;21.451451451451476;-0.13631051296650434;-0.05311300633017481
59;;;;21.476476476476478;-0.1348992732755662;-0.05262951404035002
60;;;;21.50150150150148;-0.13348845699613576;-0.05214486981533818
61;;;;21.52652652652654;-0.1320780625765191;-0.051659071462042905
62;;;;21.55155155155154;-0.13066808846501668;-0.05117211678295249
63;;;;21.5765765765766;-0.12925853310989588;-0.050684003576121746
64;;;;21.6016016016016;-0.12784939495941894;-0.05019472963517243
65;;;;21.626626626626603;-0.12644067246180413;-0.04970429274927103
66;;;;21.65165165165166;-0.12503236406524287;-0.049212690703125506
67;;;;21.676676676676664;-0.12362446821790182;-0.04871992127697711
68;;;;21.701701701701722;-0.12221698336789129;-0.04822598224658019
69;;;;21.726726726726724;-0.12080990796328925;-0.047730871383201576
70;;;;21.751751751751726;-0.11940324045211602;-0.04723458645360253
71;;;;21.776776776776785;-0.11799697928234187;-0.04673712522003232
72;;;;21.801801801801787;-0.11659112290188456;-0.04623848544021818
73;;;;21.826826826826846;-0.11518566975858642;-0.04573866486734796
74;;;;21.851851851851848;-0.11378061830024387;-0.04523766125007146
75;;;;21.87687687687685;-0.11237596697456283;-0.04473547233247534
76;;;;21.90190190190191;-0.11097171422918113;-0.044232095854081735
77;;;;21.92692692692691;-0.10956785851166218;-0.043727529549836865
78;;;;21.95195195195197;-0.1081643982694796;-0.04322177115009609
79;;;;21.97697697697697;-0.10676133195002137;-0.04271481838061614
