;0;0;0.3;0.3;0.5;0.5;0.7;0.7;0.8;0.8;1;1
;temp;cp;temp;cp;temp;cp;temp;cp;temp;cp;temp;cp
0;5.68407;-1.7280986930995855e-06;5.67643;-3.3542267822977024e-05;5.68464;-9.352799780254842e-05;5.67256;-2.3440973708401674e-06;5.679;-1.1491216294224477e-07;5.68166;7.084805657549308e-05
1;5.70353;-9.662439905719182e-07;5.69333;-2.950248056675462e-05;5.70198;-9.813297343676079e-05;5.68788;-2.322993278838434e-06;5.69546;-9.170779917879596e-07;5.69785;7.007319570165077e-05
2;5.71923;1.8200096135625836e-06;5.71265;-2.8139354434018535e-05;5.71765;-9.833675381925276e-05;5.70643;1.519230016518592e-06;5.71279;5.166420573476244e-06;5.71339;7.204453202875271e-05
3;5.7354;5.386872665470721e-08;5.72845;-2.1182420944791842e-05;5.73506;-9.954083049334549e-05;5.72249;5.2738118861746924e-06;5.72996;8.670009391123848e-06;5.73167;7.186753264862831e-05
4;5.7524;-3.0252772245868524e-06;5.74504;-2.6020386453730424e-05;5.75217;-0.00010029846679885301;5.73844;7.531842816616268e-06;5.74436;7.088177732145987e-06;5.75002;6.610166522832126e-05
5;5.76874;-5.508652250940313e-07;5.76094;-2.5079630706873347e-05;5.76861;-0.00010339676424542732;5.75457;9.143948322699099e-06;5.76243;8.260464165889703e-06;5.7646;6.980588259570034e-05
6;5.78584;1.7408065895530359e-06;5.77628;-2.4709077951492846e-05;5.78509;-9.960440951334347e-05;5.77041;9.470510867137794e-06;5.77776;7.899242660080845e-06;5.78011;6.84785504012637e-05
7;5.79957;1.1668554113640657e-06;5.79453;-2.8349564918706428e-05;5.80178;-9.87261810532305e-05;5.7883;7.467219446055662e-06;5.79351;8.970799872208036e-06;5.79873;7.353726434807472e-05
8;5.81738;1.9234073272197255e-07;5.80929;-2.1550218362549785e-05;5.82063;-9.806996093047202e-05;5.80525;9.870982083640036e-06;5.81065;1.2627774520306261e-05;5.81491;7.063358828596797e-05
9;5.83273;1.9632668559190977e-06;5.8268;-1.3103102321668485e-05;5.83687;-9.322508256433834e-05;5.82165;6.807814576992831e-06;5.82667;1.3773854204731598e-05;5.83169;7.53418023706307e-05
10;5.85163;3.890467195531277e-06;5.84494;-1.451195512670693e-05;5.8505;-9.768494408610336e-05;5.8381;4.6774253998484e-06;5.84118;8.168901795442378e-06;5.84786;7.514922421121973e-05
11;5.86725;-1.10290499890503e-06;5.8595;-1.3089490419513142e-05;5.86658;-9.537819327114618e-05;5.85489;1.172778482284734e-05;5.85935;8.327121044083424e-06;5.86208;6.468898116015879e-05
12;5.88504;1.5579291865863015e-07;5.8776;-1.788540981301559e-05;5.88433;-8.848960193568118e-05;5.87233;6.153011051783681e-06;5.87757;8.673933683942068e-06;5.87987;7.19169264137827e-05
13;5.8992;-4.485142127926868e-07;5.89332;-2.0056266295256312e-05;5.90285;-9.18133408444391e-05;5.88905;7.727745603484243e-06;5.89437;8.084898181669447e-06;5.89773;7.488659735196555e-05
14;5.9163;1.7984511411529847e-07;5.9099;-1.8233395037340824e-05;5.91688;-9.26454277353707e-05;5.90762;7.661053849538062e-06;5.91285;1.0740862338503524e-05;5.91539;7.557374195310248e-05
15;5.9338;-1.467631315881738e-06;5.92819;-1.3116455933038368e-05;5.93287;-9.545066209921786e-05;5.92137;8.336837983150599e-06;5.93051;1.5097209185749392e-05;5.9288;7.458352603860333e-05
16;5.95064;-4.967154826113988e-06;5.94291;-2.4045200346138433e-05;5.95047;-9.409187045983413e-05;5.93789;7.52108495367769e-06;5.94601;1.3158309561879262e-05;5.94591;7.443971434255075e-05
17;5.96844;9.173854714082837e-07;5.96076;-1.8263253633023138e-05;5.96753;-9.3849102740985e-05;5.95642;6.715100211008348e-06;5.9622;1.5257302335690628e-05;5.9624;7.60587556906697e-05
18;5.98276;-1.0954619231598808e-06;5.97713;-2.1032462565842222e-05;5.98359;-8.822009628017434e-05;5.97138;2.873481409458329e-06;5.97979;1.1553244511322731e-05;5.97758;7.439048032926868e-05
19;6.0011;-5.839642468878983e-06;5.99403;-2.220900707802483e-05;6.00056;-8.547024247164891e-05;5.98914;6.586020355726918e-06;5.99519;3.7881744699365567e-06;5.99303;7.987195036499831e-05
20;6.01642;-7.682220844922386e-06;6.01036;-1.8068385686660117e-05;6.01723;-8.455004559255585e-05;6.00274;3.8251361340461455e-06;6.01383;4.915507397517966e-06;6.01143;7.874973996404135e-05
21;6.03316;-8.47531191513172e-06;6.02487;-1.952731677255402e-05;6.0341;-8.943920861792607e-05;6.02;1.388464750602756e-06;6.02977;1.0294308337750399e-05;6.02802;7.493322603210808e-05
22;6.05111;-2.0456742815602724e-06;6.04106;-2.4282224543451143e-05;6.04916;-9.068728477536247e-05;6.03607;2.921779826856215e-06;6.04632;5.548806296107756e-06;6.0443;7.20020503956649e-05
23;6.06875;-6.53335135549285e-08;6.06079;-2.579494790641351e-05;6.06771;-8.563501724073762e-05;6.05387;3.099622602596979e-06;6.06351;3.1179151484929737e-06;6.06118;7.269382219185841e-05
24;6.08454;1.7685020445019732e-06;6.07479;-2.1479639286062918e-05;6.08564;-8.74719102106603e-05;6.07052;4.598572802952394e-06;6.08078;1.0327081919662105e-05;6.07765;7.70847861911888e-05
25;6.10035;-5.381185909592891e-06;6.09094;-2.061905031718568e-05;6.10127;-8.678840564443078e-05;6.08834;5.0990308900875254e-06;6.09653;9.847417010540142e-06;6.09316;7.96008793841126e-05
