;0;0;0.3;0.3;0.5;0.5;0.7;0.7;0.8;0.8;1;1
;temp;cp;temp;cp;temp;cp;temp;cp;temp;cp;temp;cp
0;5.68407;-0.0024720702693069004;5.67643;-0.0026748739001770227;5.68464;-0.0026286200581974515;5.67256;-0.00254281239062916;5.679;-0.0024367722078370577;5.68166;0.0018007722954245069
1;5.70353;-0.002471899092009428;5.69333;-0.0026746292714332452;5.70198;-0.0026284501225632396;5.68788;-0.0025426577667211616;5.69546;-0.002436660402008212;5.69785;0.0017998777402983492
2;5.71923;-0.0024717607296135626;5.71265;-0.0026743480855659814;5.71765;-0.0026282965501807473;5.70643;-0.0025424707980165186;5.71279;-0.0024365432125734764;5.71339;0.0017990151639712473
3;5.7354;-0.0024716179807266546;5.72845;-0.0026741169070552085;5.73506;-0.0026281259215066547;5.72249;-0.0025423091558861746;5.72996;-0.002436427641391124;5.73167;0.0017979955393513717
4;5.7524;-0.0024714676347754134;5.74504;-0.0026738729735462695;5.75217;-0.0026279582292011473;5.73844;-0.0025421488348166166;5.74436;-0.002436331129732146;5.75002;0.0017969665907716789
5;5.76874;-0.0024713228627749064;5.76094;-0.002673638025293127;5.76861;-0.002627797099754573;5.75457;-0.0025419869243226995;5.76243;-0.0024362105601658897;5.7646;0.0017961451494042998
6;5.78584;-0.002471171078589553;5.77628;-0.002673410266048507;5.78509;-0.0026276355744866567;5.77041;-0.0025418281428671377;5.77776;-0.0024361087466600807;5.78011;0.0017952675135987364
7;5.79957;-0.0024710489994113644;5.79453;-0.0026731378990812937;5.80178;-0.0026274719869467697;5.7883;-0.0025416490754460556;5.79351;-0.002436004599872208;5.79873;0.0017942087036519254
8;5.81738;-0.002470890364732722;5.80929;-0.0026729164936374504;5.82063;-0.002627287223069528;5.80525;-0.00254147967808364;5.81065;-0.0024358917905203063;5.81491;0.001793284019714032
9;5.83273;-0.0024707533868559193;5.8268;-0.002672652521678332;5.83687;-0.0026271280374356616;5.82165;-0.002541316022576993;5.82667;-0.0024357868542047314;5.83169;0.0017923204856293694
10;5.85163;-0.0024705844031955313;5.84494;-0.0026723775328732933;5.8505;-0.0026269944319138967;5.8381;-0.002541152113399848;5.84118;-0.0024356922297954424;5.84786;0.0017913875677887804
11;5.86725;-0.002470444471001095;5.8595;-0.002672155685580487;5.86658;-0.0026268368067288543;5.85489;-0.0025409850728228475;5.85935;-0.0024355743050440836;5.86208;0.0017905635628398414
12;5.88504;-0.002470284792918659;5.8776;-0.0026718784861869847;5.88433;-0.002626662806064319;5.87233;-0.0025408118430517834;5.87757;-0.0024354566936839422;5.87987;0.0017895279375862174
13;5.8992;-0.0024701574617872076;5.89332;-0.0026716364537047437;5.90285;-0.002626481251155561;5.88905;-0.0025406460336034843;5.89437;-0.0024353488181816695;5.89773;0.0017884829066480345
14;5.9163;-0.0024700034131141155;5.9099;-0.0026713798769626594;5.91688;-0.0026263437082646294;5.90762;-0.0025404621898495383;5.91285;-0.0024352307903385034;5.91539;0.0017874443060468975
15;5.9338;-0.002469845440684118;5.92819;-0.002671095272066962;5.93287;-0.0026261869459007826;5.92137;-0.0025403262779831507;5.93051;-0.002435118625185749;5.9288;0.0017866521379613968
16;5.95064;-0.0024696931171738863;5.94291;-0.0026708650156538616;5.95047;-0.002626014393540166;5.93789;-0.0025401632289536774;5.94601;-0.0024350206855618794;5.94591;0.0017856369816574495
17;5.96844;-0.0024695317774714085;5.96076;-0.002670584346366977;5.96753;-0.002625847129259015;5.95642;-0.0025399806602110085;5.9622;-0.002434918894335691;5.9624;0.0017846539083093305
18;5.98276;-0.00246940173007684;5.97713;-0.0026703255374341582;5.98359;-0.0026256896637198257;5.97138;-0.0025398335134094586;5.97979;-0.0024348088925113228;5.97758;0.0017837448396707313
19;6.0011;-0.002469234845531121;5.99403;-0.0026700569209219755;6.00056;-0.0026255232695283513;5.98914;-0.0025396591163557272;5.99519;-0.0024347130944699365;5.99303;0.0017828155616350016
20;6.01642;-0.0024690951551550777;6.01036;-0.00266979597431334;6.01723;-0.0026253598104074446;6.00274;-0.0025395257841340463;6.01383;-0.002434597779397518;6.01143;0.001781703516035959
21;6.03316;-0.0024689422160848683;6.02487;-0.002669562955227446;6.0341;-0.0026251943833820743;6.02;-0.0025393568407506032;6.02977;-0.0024344997243377505;6.02802;0.0017806958779678919
22;6.05111;-0.0024687778697184398;6.04106;-0.002669301663456549;6.04916;-0.0026250466992246376;6.03607;-0.0025391998198268564;6.04632;-0.002434398462296108;6.0443;0.0017797024616043352
23;6.06875;-0.0024686160024864454;6.06079;-0.0026689813800935868;6.06771;-0.0026248647827592625;6.05387;-0.002539026206602597;6.06351;-0.002434293875148493;6.06118;0.0017786676018081418
24;6.08454;-0.002468470806044502;6.07479;-0.0026687528647139375;6.08564;-0.0026246889377893397;6.07052;-0.0025388641088029524;6.08078;-0.0024341894099196622;6.07765;0.0017776531258088112
25;6.10035;-0.002468325134090407;6.09094;-0.0026684879576828148;6.10127;-0.0026245356423555697;6.08834;-0.0025386909428900878;6.09653;-0.0024340946730105405;6.09316;0.0017766934806158873
26;6.11771;-0.002468164841148984;6.10939;-0.0026681836086474833;6.11672;-0.0026243841054371837;6.10391;-0.002538539916318531;6.11179;-0.0024340033710087135;6.10943;0.0017756823195666262
27;6.13455;-0.002468009006681664;6.12545;-0.002667917183498747;6.13437;-0.002624210981780781;6.11929;-0.002538390986170198;6.13013;-0.0024338942781318407;6.1258;0.0017746602919816161
